"filename", "language", "CSS", "PHP", "JavaScript", "comment", "blank", "total"
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\nav.css", "CSS", 214, 0, 0, 3, 35, 252
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\style.css", "CSS", 435, 0, 0, 95, 100, 630
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\css\utilities.css", "CSS", 319, 0, 0, 9, 54, 382
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\footer.php", "PHP", 0, 18, 0, 0, 3, 21
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\front-page.php", "PHP", 0, 58, 0, 0, 11, 69
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\functions-dynamic.php", "PHP", 0, 19, 0, 2, 4, 25
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\functions.php", "PHP", 0, 35, 0, 0, 8, 43
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\header.php", "PHP", 0, 45, 0, 0, 3, 48
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\header_dynamic.php", "PHP", 0, 50, 0, 0, 3, 53
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\index.php", "PHP", 0, 42, 0, 0, 2, 44
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\accordiion.js", "JavaScript", 0, 0, 15, 0, 3, 18
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\counter.js", "JavaScript", 0, 0, 35, 2, 12, 49
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\js\nav.js", "JavaScript", 0, 0, 46, 5, 12, 63
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\page.php", "PHP", 0, 30, 0, 0, 4, 34
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\single.php", "PHP", 0, 23, 0, 0, 2, 25
"c:\Users\pvmat\Local Sites\nddbase\app\public\wp-content\themes\nddbase\style.css", "CSS", 1, 0, 0, 19, 2, 22
"Total", "-", 969, 320, 96, 135, 258, 1778